Renewals export — generated from PSA;;;;;;;;;;;

Client Name;Manufacturer;Item Description;Part No;Qty;Cost Price;Sell Price;Start Date;Expiry Date;Term;Order Ref;Account Manager
Stanton & Mills Accountants;Autodesk;AutoCAD LT single-user;ACDLT-SU;5;£390.00;£475.00;25/03/2026;25/03/2027;12 months;SO-11000;J. Patel
Northgate Legal LLP;Veeam;Veeam Backup Essentials;V-ESSVUL-0I;1;320.00;£410.00;07/04/2026;07/04/2027;12 months;SO-11001;S. O'Brien
Verity Print & Packaging;HP;HP Care Pack 3Y Next Business Day;U9BA7E;18;£64.00;£95.00;06/02/2024;06/02/2027;36 months;SO-11002;M. Kowalski
Marchmont Housing;Veeam;Veeam Backup Essentials;V-ESSVUL-0I;2;320,00;410,00;06/12/2025;06/12/2026;12 months;SO-11003;J. Patel
Cobalt Interiors Ltd;Sophos;Sophos XGS 2100 FullGuard;XF2C1CSAA;1;£1180.00;£1495.00;17/03/2026;17/03/2027;12 months;SO-11004;S. O'Brien
Ashcombe Care Homes;Adobe;Adobe Acrobat Pro for teams;65297934BA01A12;7;145.00;£189.00;02/11/2025;02/11/2026;12 months;SO-11005;M. Kowalski
Stanton & Mills Accountants;Adobe;Adobe Acrobat Pro for teams;65297934BA01A12;9;£145.00;£189.00;25/02/2026;25/02/2027;12 months;SO-11006;J. Patel
Whitfield Engineering;Veeam;"Veeam Backup Essentials; 3-year term";V-ESSVUL-0I;3;320,00;410,00;25/11/2025;25/11/2026;12 months;SO-11007;S. O'Brien
Northgate Legal LLP;Microsoft;Microsoft 365 Business Premium;CFQ7TTC0LCHC;7;£18.90;£21.60;28/09/2025;28/09/2026;12 months;SO-11008;M. Kowalski
Oakvale Foods;Sophos;Sophos XGS 2100 FullGuard;XF2C1CSAA;1;1180.00;£1495.00;08/01/2026;08/01/2027;12 months;SO-11009;J. Patel
Northgate Legal LLP;Fortinet;FortiGate 60F UTP Bundle;FC-10-0060F;1;£620.00;£795.00;11/10/2024;12/10/2026;24 months;SO-11010;S. O'Brien
Whitfield Engineering;Sophos;Sophos XGS 2100 FullGuard;XF2C1CSAA;1;1180,00;1495,00;26/10/2025;26/10/2026;12 months;SO-11011;M. Kowalski
Northgate Legal LLP;Sophos;Sophos Intercept X Advanced;CIXE1CSAA;12;£28.00;£36.50;12/09/2025;12/09/2026;12 months;SO-11012;J. Patel
Cobalt Interiors Ltd;Veeam;Veeam Backup Essentials;V-ESSVUL-0I;3;320.00;£410.00;05/04/2026;05/04/2027;12 months;SO-11013;S. O'Brien
Cobalt Interiors Ltd;Fortinet;FortiGate 60F UTP Bundle;FC-10-0060F;2;£620.00;£795.00;01/06/2025;02/06/2027;24 months;SO-11014;M. Kowalski
Peregrine Logistics;Microsoft;Exchange Online Plan 1;CFQ7TTC0LH16;41;3,10;3,80;10/07/2026;10/07/2027;12 months;SO-11015;J. Patel
Verity Print & Packaging;HP;HP Care Pack 3Y Next Business Day;U9BA7E;15;£64.00;£95.00;15/06/2024;16/06/2027;36 months;SO-11016;S. O'Brien
Northgate Legal LLP;Sophos;Sophos Intercept X Advanced;CIXE1CSAA;7;28.00;£36.50;17/11/2025;17/11/2026;12 months;SO-11017;M. Kowalski
Lyndhurst Vets;Dell;ProSupport Plus 3Y — OptiPlex 7010;PSP-3Y-7010;24;£89.00;£129.00;06/05/2024;07/05/2027;36 months;SO-11018;J. Patel
Lyndhurst Vets;Autodesk;AutoCAD LT single-user;ACDLT-SU;5;390,00;475,00;02/11/2025;02/11/2026;12 months;SO-11019;S. O'Brien
Oakvale Foods;Fortinet;FortiGate 60F UTP Bundle;FC-10-0060F;2;£620.00;£795.00;18/03/2025;19/03/2027;24 months;SO-11020;M. Kowalski

Peregrine Logistics;Adobe;Adobe Acrobat Pro for teams;65297934BA01A12;4;145.00;£189.00;19/10/2025;19/10/2026;12 months;SO-11021;J. Patel
Cobalt Interiors Ltd;Microsoft;Microsoft 365 Business Premium;CFQ7TTC0LCHC;26;£18.90;£21.60;23/02/2026;23/02/2027;12 months;SO-11022;S. O'Brien
Ashcombe Care Homes;Datto;Datto SIRIS 2 Cloud Backup;DTO-SIRIS2;4;52,00;74,00;09/05/2026;09/05/2027;12 months;SO-11023;M. Kowalski
Marchmont Housing;Datto;Datto SIRIS 2 Cloud Backup;DTO-SIRIS2;4;£52.00;£74.00;25/10/2025;25/10/2026;12 months;SO-11024;J. Patel
Stanton & Mills Accountants;Fortinet;FortiGate 60F UTP Bundle;FC-10-0060F;2;620.00;£795.00;20/01/2025;21/01/2027;24 months;SO-11025;S. O'Brien
Lyndhurst Vets;Mimecast;Mimecast Email Security M2;MC-M2-SEC;47;£26.40;£34.00;11/08/2025;11/08/2026;12 months;SO-11026;M. Kowalski
Oakvale Foods;Autodesk;AutoCAD LT single-user;ACDLT-SU;3;390,00;475,00;16/10/2025;16/10/2026;12 months;SO-11027;J. Patel
Stanton & Mills Accountants;Dell;ProSupport Plus 3Y — OptiPlex 7010;PSP-3Y-7010;7;£89.00;£129.00;05/09/2023;05/09/2026;36 months;SO-11028;S. O'Brien
Stanton & Mills Accountants;Microsoft;Exchange Online Plan 1;CFQ7TTC0LH16;59;3.10;£3.80;17/11/2025;17/11/2026;12 months;SO-11029;M. Kowalski
Whitfield Engineering;Veeam;Veeam Backup Essentials;V-ESSVUL-0I;1;£320.00;£410.00;16/11/2025;16/11/2026;12 months;SO-11030;J. Patel
Oakvale Foods;Fortinet;FortiGate 60F UTP Bundle;FC-10-0060F;1;620,00;795,00;30/10/2024;31/10/2026;24 months;SO-11031;S. O'Brien
Halloway Dental Group;Microsoft;Microsoft 365 Business Premium;CFQ7TTC0LCHC;55;£18.90;£21.60;24/04/2026;24/04/2027;12 months;SO-11032;M. Kowalski
Halloway Dental Group;Microsoft;Microsoft 365 Business Premium;CFQ7TTC0LCHC;52;18.90;£21.60;29/12/2025;29/12/2026;12 months;SO-11033;J. Patel
Peregrine Logistics;Dell;ProSupport Plus 3Y — OptiPlex 7010;PSP-3Y-7010;14;£89.00;£129.00;13/10/2023;13/10/2026;36 months;SO-11034;S. O'Brien
Verity Print & Packaging;Dell;ProSupport Plus 3Y — OptiPlex 7010;PSP-3Y-7010;5;89,00;129,00;02/11/2023;02/11/2026;36 months;SO-11035;M. Kowalski
Lyndhurst Vets;Datto;Datto SIRIS 2 Cloud Backup;DTO-SIRIS2;4;£52.00;£74.00;09/02/2026;09/02/2027;12 months;SO-11036;J. Patel
Oakvale Foods;Veeam;Veeam Backup Essentials;V-ESSVUL-0I;1;320.00;£410.00;24/06/2026;24/06/2027;12 months;SO-11037;S. O'Brien
